cleaned_data,full_household_identifier,time_of_interview,final_survey_outcome_code,final_survey_outcome,type_of_housing_unit_code,type_of_housing_unit,household_type_code,household_type,has_telephone_code,has_telephone,has_telephone_reachable_code,has_telephone_reachable,is_telephone_acceptable_code,is_telephone_acceptable,type_of_interview_code,type_of_interview,family_income_range_code,family_income_range,geo_div_code,geo_div,race_code,race
0000047951107191220170120100-10101-10109-1-1-10014394041010201070200020601102002-1-1-1-10360010266200001103000000-1-101-171001020101-1024201-109-101-1010101020102057057057010000010602-1-102-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-102-1-1-1-100143940410031009204000000000000218257250021562240000000-1-1-100000100-100500000000000000000-1-1-100000001-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10101010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1010101-1-1-10008401-1-103-1-1-1010100-1-1-1002208994400-100-100-100-1-1-10403-1-100-1-1-1-1-150500101010202020102020100000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00000479511071906011,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,02,TELEPHONE,09,"30,000 TO 34,999",6,EAST SOUTH CENTRAL,01,White Only
0000047951107191220170120100-10101-10109-1-1-10014394041010201070200020601102002-1-1-1-10360010266200001103000000-1-103-164001010202-1024001-109-102-1010201020102057057057010000020503-1-102-1-1-101-102-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-102-1-1-1-100143940410020499878000000000000143940410014569169000000-1-1-100000100-100500000000001000000-1-1-100000000-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10101010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1010101-1-1-10008402-1-102-1-1-1010100-1-1-1001457103700-100-100-100-1-1-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00000479511071906011,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,02,TELEPHONE,09,"30,000 TO 34,999",6,EAST SOUTH CENTRAL,01,White Only
0000716910049411220170120100-10101-10111-1-1-10017523079010301050101030611102002-1-1-1-10360010266200001103000000-1-101-172001020101-1024001-109-101-1010101020102057057057010000010101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-146-1-1046-1-1-1-102-102-146-1046-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11901010105-1-1-10-1-1-10102-1-1-1-1-1-1-10404000000-1-100000002-1-1010204-10106-138-122-10109-110-10601010100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-1-1-1-1-100175230790000000000000000000000152567120014453219000001-1-1-100000100-100500000000000000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10353101-1-104-1-1-1010100-1-1-100148069407580914000-100-114-104-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-100000000000000000000000000000000000000000000000000A,00007169100494106111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,01,PERSONAL,11,"40,000 TO 49,999",6,EAST SOUTH CENTRAL,01,White Only
0000716910049411220170120100-10101-10111-1-1-10017523079010301050101030611102002-1-1-1-10360010266200001103000000-1-103-172001010202-1024001-109-102-1010201020102057057057010000020503-1-102-1-1-1-1-102-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-102-1-1-1-100175230790000000000000000000000175230790017710843000000-1-1-100000100-100500000000001000000-1-1-100000000-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10101010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1010101-1-1-10353102-1-103-1-1-1010100-1-1-1001771035600-100-100-100-1-1-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-100000000000000000000000000000000000000000000000000A,00007169100494106111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,01,PERSONAL,11,"40,000 TO 49,999",6,EAST SOUTH CENTRAL,01,White Only
0000716910049411220170120100-10101-10111-1-1-10017523079010301050101030611102002-1-1-1-10360010266200001103000000-1-105-125006-10202-1024001-109-103-1010401020702057057057010000020101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-1-1-1-10404000000-1-100000002-1-1010204-10106-134-116-10108-104-10301010100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-102-1-10200260538050000000000000000000000260538050026379454000001-1-1-100000100-100500000010001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10001010353103-1-101-1-1-1010100-1-1-100263866137070492000-100-112-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-100000000000000000000000000000000000000000000000000A,00007169100494106111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,01,PERSONAL,11,"40,000 TO 49,999",6,EAST SOUTH CENTRAL,01,White Only
0001101779879861220170120100-10101-10114-1-1-10018465126010201010101000801102002-1-1-1-10360010338600001103000000-1-101-163001020101-1024202-109-101-1010101020102057057057010000010503-1-102-1-1-1-1-102-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-102-1-1-1-100184651260000000000000000000000173128910017383972000000-1-1-100000100-100500000000000000000-1-1-100000000-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10101010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1010101-1-1-11132001-1-104-1-1-1010100-1-1-1001738589800-100-100-100-1-1-10304-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-100000000000000000000000000000000000000000000000000A,00011017798798608011,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,01,PERSONAL,14,"75,000 TO 99,999",6,EAST SOUTH CENTRAL,02,Black Only
0001101779879861220170120100-10101-10114-1-1-10018465126010201010101000801102002-1-1-1-10360010338600001103000000-1-103-159001010202-1023902-109-102-1010201020102057057057010000020101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-1-1-1-10404000000-1-100000002-1-1010204-10106-140-117-10110-105-10301010100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-1-1-1-1-100184651260000000000000000000000184651260018463462000001-1-1-100000100-100500000000001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1113200201-1-1-1-1-1000101-1-1-100184502127870540000-100-115-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-100000000000000000000000000000000000000000000000000A,00011017798798608011,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,01,PERSONAL,14,"75,000 TO 99,999",6,EAST SOUTH CENTRAL,02,Black Only
000110206593381122017-121301-101-1-100-104-1-1-1000000000200000101010008011-10-1-1-1-1-10360010266200001103000000-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-10-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-100-100-1000-1-10000000-1-1-1000000-10000000-1-1-1-1-1-1-1-1-1-1-1-1-1-100000000-100000000-100000000-100000000-100000000-1-1-1-1-1-100010100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10009401-1-1-1-1-1-1-1-1-1-1-1-1-100000000-100-100-100-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-100000000000000000000000000000000000000000000A,00011020659338108011,2017/12,213,LANGUAGE BARRIER,01,"HOUSE, APARTMENT, FLAT",00,NON-INTERVIEW HOUSEHOLD,-1,Unknown,-1,Unknown,00,Unknown,01,PERSONAL,-1,Unknown,6,EAST SOUTH CENTRAL,-1,Unknown
0001102848156801220170120100-10101-10109-1-1-10018247691010107010101000811101002-1-1-1-10360010336600971103380000-1-102-173003-10202-1024001-109-101-1000002020402057057057010000010702-1-102-102-1-1-1-1-1-10202-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-102-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-102-1-1-1-1-1-1-104-1-1-1-1-1-1-1-103-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1020402-1-1-1-1-100182476910000000000000000000000182476910018443220000000-1-1-100000100-100500000010001000000-1-1-100000001-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10001010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1010000-1-1-14093701-1-102-1-1-1010100-1-1-1001844271300-100-100-100-1-1-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-100000000000000000000000000000000000000000000000000A,00011028481568008111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",07,CIVILIAN FEMALE PRIMARY INDIVIDUAL,01,YES,-1,Unknown,01,YES,01,PERSONAL,09,"30,000 TO 34,999",6,EAST SOUTH CENTRAL,01,White Only
0001103278564691220170120100-10101-10105-1-1-10015947655010107050101030611101002-1-1-1-10360010338600001103000000-1-102-180103-10202-1023302-109-101-1000002020402057057057010000010503-1-102-1-1-1-1-102-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-102-1-1-1-100159476550000000000000000000000159476550015996168000000-1-1-100000100-100500000010001000000-1-1-100000000-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10101010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1010101-1-1-11696601-1-1-1-1-1-1010101-1-1-1001599769300-100-100-100-1-1-1-1-1-1-100-1-1-1-1-150500101010202020102020100000000000042-1-1-1-1-102-1-100000000000000000000000000000000000000000000000000A,00011032785646906111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",07,CIVILIAN FEMALE PRIMARY INDIVIDUAL,01,YES,-1,Unknown,01,YES,01,PERSONAL,05,"12,500 TO 14,999",6,EAST SOUTH CENTRAL,02,Black Only
